"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_SPEED_UP_TROOP_REQUEST_TEXT","Do you want to skip waiting and request reinforcements now?","هل ترغب في تجاوز الانتظار وطلب التعزيزات الآن؟","您想跳过等待，马上请求增援吗？","是否要略過等待時間並立即請求增援？","Wartezeit überspringen und Verstärkung jetzt anfordern?","¿Quieres evitar la espera y solicitar los refuerzos ahora?","آیا می‌خواهید از انتظار صرفنظر کرده و نیروی کمکی درخواست کنید؟","Haluatko odottelun sijaan pyytää vahvistusjoukkoja saman tien?","Ne pas attendre et demander des renforts ?","Ingin tidak menunggu dan meminta bantuan sekarang?","Non vuoi aspettare e vuoi richiedere subito rinforzi?","待つのをやめて今すぐ支援をもとめますか？","대기 시간을 건너뛰고 지원군을 지금 요청할까요?","Anda tidak mahu menunggu dan ingin memohon bantuan sekarang?","Wil je niet wachten en meteen om versterkingen vragen?","Vil du slippe å vente, og heller be om forsterkninger nå?","Quer pedir reforços agora, sem esperar?","Хотите пропустить ожидание и попросить подмогу сейчас?","ท่านต้องการข้ามการรอแล้วขอกำลังเสริมเลยหรือไม่?","Beklemeyi geçmek ve hemen takviye talep etmek istiyor musun?","Bạn có muốn bỏ qua thời gian chờ và yêu cầu quân tiếp viện ngay không?"
"TID_POPUP_EDIT_MODE_DISCARD_TITLE","Cancel editing?","إلغاء التعديل؟","要取消编辑吗？","取消編輯？","Bearbeitung abbrechen?","Cancelar edición","ویرایش لغو شود؟","Peruuta muokkaus?","Annuler les modifications ?","Batalkan pengeditan?","Annullare la modifica?","編集をキャンセルしますか？","편집 취소","Batalkan pengeditan?","Bewerken annuleren?","Avbryte redigering?","Cancelar a edição?","Отменить изменения?","ยกเลิกการแก้ไขหรือไม่?","Düzenleme iptal edilsin mi?","Hủy bỏ chỉnh sửa?"
"TID_POPUP_REMOVE_REINFORCEMENTS_TITLE","Remove reinforcements?","إزالة التعزيزات؟","要移除部队/法术吗？","要移除部隊/法術嗎？","Verstärkung entfernen?","Eliminar refuerzos","نیروهای کمکی حذف شود؟","Poista vahvistusjoukot?","Supprimer les renforts ?","Singkirkan bantuan?","Rimuovere rinforzi?","破棄しますか？","지원군 제거 확인","Buang bantuan?","Versterkingen verwijderen?","Fjerne forsterkninger?","Remover os reforços?","Убрать подкрепление?","ลบกำลังเสริมหรือไม่?","Takviyeler kaldırılsın mı?","Xóa bỏ quân tiếp viện?"
"TID_POPUP_REMOVE_SPELL_TITLE","Remove spells?","إزالة التعويذات؟","要移除法术吗？","是否移除法術？","Zauber entfernen?","Eliminar hechizos","طلسم‌ها حذف شود؟","Poista loitsut?","Supprimer les sorts ?","Singkirkan mantra?","Rimuovere incantesimi?","呪文を破棄しますか？","마법 제거 확인","Buang sihir?","Spreuken verwijderen?","Fjerne trylleformler?","Remover feitiços?","Убрать заклинания?","ลบอาคมหรือไม่?","Büyüler kaldırılsın mı?","Xóa bỏ thần chú?"
"TID_SUPPORT_CREATOR_TITLE","Creator Boost","دعم منشئ محتوى","助力创作者","幫助創作者","Creator-Unterstützung","Apoya a un creador","تقویت تولیدکننده محتوا","Sisällöntuottajan tukeminen","Boost créateur de contenu","Dukung Kreator","Sostieni un creatore","クリエイターブースト","크리에이터 부스트","Galakan Pencipta","Contentmakersboost","Skaperstøtte","Criador de conteúdo","Поддержка автора","บูสต์ผู้สร้าง","İçerik Üreticisi Desteği","Cường hóa nhà sáng tạo nội dung"
"TID_SUPPORTING_NOBODY","Support a Creator","دعم منشئ محتوى","支持创作者","支持創作者","Unterstütze einen Creator","Apoya a un creador","پشتیبانی از یک تولیدکننده محتوا","Tue sisällöntuottajaa","Soutenir un créateur","Dukung Kreator","Aiuta un creatore","クリエイターを支援しよう","크리에이터 후원","Sokong Pencipta","Steun een maker","Støtt en skaper","Apoie um criador de conteúdo","Поддержать автора","สนับสนุนผู้สร้าง","Bir İçerik Üreticisini Destekle","Ủng hộ nhà sáng tạo nội dung"
"TID_SUPPORT_CREATOR_INFO","Support a Content Creator by entering their Creator Code!","ادعم منشئ محتوى بإدخال رمز المنشئ.","输入创作者代码，支持内容创作者！","輸入創作者代碼，支持內容創作者！","Unterstütze einen Creator, indem du seinen Creator-Code eingibst!","¡Apoya a un creador de contenido con solo escribir su código de creador!","با وارد کردن کد یک تولیدکننده محتوا از او حمایت کنید!","Tue sisällöntuottajaa antamalla tämän koodi!","Soutenez un créateur de contenu en saisissant son code créateur.","Dukung Kreator Konten dengan cara memasukkan Kode Kreator!","Inserisci il codice di un creatore di contenuti per sostenerlo!","クリエイターコードを入力して、\nコンテンツクリエイターを支援しよう！","크리에이터 코드를 입력하여 콘텐츠 크리에이터를 후원하세요!","Sokong Pencipta Kandungan dengan memasukkan Kod Pencipta!","Steun een contentmaker door zijn of haar makerscode in te voeren.","Støtt en innholdsskaper ved å skrive inn vedkommendes skaperkode!","Apoie um criador de conteúdo inserindo o código dele!","Чтобы поддержать автора контента, введите код.","สนับสนุนผู้สร้างเนื้อหาด้วยการใส่รหัสผู้สร้าง!","Kodunu yazarak bir İçerik Üreticisine destek olabilirsin!","Ủng hộ cho nhà sáng tạo nội dung bằng cách nhập mã nhà sáng tạo nội dung!"
"TID_SUPPORT_TEXTBOX_TITLE","Support a Creator","دعم منشئ محتوى","支持创作者","支持創作者","Unterstütze einen Creator","Apoyar a un creador","پشتیبانی از یک تولیدکننده محتوا","Tue sisällöntuottajaa","Soutenir un créateur","Dukung Kreator","Sostieni un creatore","クリエイターを支援しよう","크리에이터 후원","Sokong Pencipta","Steun een maker","Støtt en skaper","Apoie um criador de conteúdo","Поддержать автора","สนับสนุนผู้สร้าง","Bir İçerik Üreticisini Destekle","Ủng hộ nhà sáng tạo nội dung"
"TID_SUPPORT_TEXTBOX_PROMPT","Enter creator code","أدخل رمز المنشئ","输入创作者代码","輸入創作者代碼","Creator-Code eingeben","Escribe el código de creador","وارد کردن کد تولیدکننده","Anna sisällöntuottajan koodi","Saisir le code créateur","Masukkan kode kreator","Inserisci codice del creatore","クリエイターコードを入力","크리에이터 코드 입력","Masukkan kod pencipta","Voer makerscode in","Skriv inn en skaperkode","Código de criador de conteúdo","Введите код автора","ใส่รหัสผู้สร้าง","İçerik üreticisi kodunu gir","Nhập mã nhà sáng tạo nội dung"
"TID_SUPPORT_CREATOR_INVALID_CODE","Incorrect creator code. Check and try again.","رمز المنشئ غير صالح. تحقق منه وحاول مجددًا.","创作者代码错误，请检查后再次尝试。","創作者代碼錯誤，請檢查後再次嘗試。","Ungültiger Creator-Code. Bitte versuche es erneut.","Código de creador inválido. Compruébalo y vuelve a intentarlo.","کد تولیدکننده درست نیست. بررسی کنید و دوباره امتحان کنید.","Väärä koodi. Tarkista ja yritä uudelleen.","Code créateur erroné. Veuillez le vérifier et réessayer.","Kode kreator salah. Periksa dan coba lagi.","Hai inserito un codice del creatore errato, riprova.","クリエイターコードが間違っています。もう一度入力してください。","잘못된 크리에이터 코드입니다. 확인 후 다시 입력하세요.","Kod pencipta tidak betul. Semak dan cuba lagi.","Verkeerde makerscode","Feil skaperkode. Kontroller og prøv igjen.","Código incorreto. Tente novamente.","Недействительный код автора. Перепроверьте, пожалуйста.","รหัสผู้สร้างไม่ถูกต้อง โปรดตรวจสอบและลองอีกครั้ง","İçerik üreticisi kodu yanlış. Kontrol edip tekrar dene.","Mã nhà sáng tạo nội dung không chính xác.\nHãy kiểm tra và thử lại."
"TID_CONFIRM_SUPER_TROOP_PURCHASE_TEXT","Boost <original> into <name> for <duration>?","أتريد تعزيز <original> إلى <name> لمدة <duration>؟","将<original>强化为<name>？强化有效时间为<duration>。","將<original>強化為<name>？強化有效時間為<duration>。","<original> <duration> lang in \q<name>\q verwandeln?","¿Quieres potenciar tu <original> a la supertropa <name> durante <duration>?","برای <duration>، <original> را به <name> تقویت می‌کنید؟","Tehostetaanko <original> tasolle <name> <duration> ajaksi?","<original> : booster en <name> pendant <duration> ?","Tingkatkan <original> menjadi <name> selama <duration>?","Vuoi potenziare la truppa \q<original>\q per <duration> e farla diventare \q<name>\q?","<original>を<duration>間<name>にブーストしますか？","<duration> 동안 <original> 유닛을 <name> 유닛으로 강화할까요?","Galakkan <original> kepada <name> selama <duration>?","<original> <duration> lang transformeren in een <name>?","Vil du booste <original> til <name> i <duration>?","Melhorar <original> para <name> por <duration>?","Усилить воина «<original>» до воина «<name>» на <duration>?","บูสต์ <original> เป็น <name> เป็นระยะเวลา <duration> หรือไม่?","<duration> için <original>, <name> olsun mu?","Cường hóa <original> thành <name> trong <duration>?"
